1/9/2009,Detroit Red Wings,Anaheim Ducks,Rick,0,5,0/5,1/3,29,32,43,57,7:42,7:18,14,21,no,domination,no,yes,6,10,0,0
1/24/2009,Chicago Blackhawks,New York Rangers,Rick,3,9,1/3,0/1,29,35,27,48,5:41,9:14,16,18,no,WOW,no,yes,2,6,0,1
1/24/2009,San Jose Sharks,Edmonton Oilers,Rick,2,4,1/4,0/0,38,28,28,59,6:50,7:53,25,13,no,empty net goal,no,yes,0,8,0,0
1/24/2009,New York Rangers,Dallas Stars,Rick,2,1,0/2,0/2,29,37,33,51,5:25,9:20,17,14,no,finally,no,yes,4,4,0,0
3/5/2009,Ottawa Senators,New York Rangers,Rick,4,2,1/7,1/2,53,32,32,93,7:46,7:43,23,14,no,,no,yes,4,14,1,0
3/5/2009,Edmonton Oilers,Montreal Canadiens,Steve,0,2,0/2,0/2,29,42,28,65,6:43,9:34,7,25,no,,no,yes,4,6,0,0
3/5/2009,Pittsburgh Penguins,Calgary Flames,Rick,3,0,1/4,0/3,32,29,31,61,5:50,10:36,19,13,no,,no,yes,8,8,0,0
4/3/2009,Pittsburgh Penguins,Edmonton Oilers,Steve,2,5,1/5,0/0,37,38,26,76,5:44,9:01,12,22,no,,no,no,4,10,0,0
4/3/2009,New Jersey Devils,New York Rangers,Rick,1,7,0/3,0/1,25,41,25,57,5:30,10:34,9,22,no,a for effort rick,no,yes,2,6,0,0
4/3/2009,Philadelphia Flyers,New York Islanders,Rick,4,3,1/6,0/3,42,41,37,73,7:03,8:54,21,19,no,,no,yes,6,12,0,0
4/24/2009,Ottawa Senators,New York Rangers,Rick,5,4,2/9,0/3,38,33,41,68,7:17,12:47,19,31,no,,yes,yes,6,18,0,0
4/24/2009,San Jose Sharks,New Jersey Devils,Steve,2,4,1/3,0/1,29,40,27,53,6:56,9:01,9,16,no,steve empty net goal,no,yes,2,6,0,0
4/24/2009,Detroit Red Wings,Pittsburgh Penguins,Rick,3,6,0/8,2/2,43,35,39,61,7:24,8:12,15,20,no,,no,yes,6,12,0,0
4/24/2009,Detroit Red Wings,Pittsburgh Penguins,Rick,3,5,1/3,0/0,39,46,32,65,6:16,7:27,26,13,no,,no,yes,0,6,0,0
5/2/2009,Ottawa Senators,Montreal Canadiens,Rick,2,3,1/7,0/3,42,23,34,67,8:19,7:26,23,14,no,,no,yes,6,14,0,0
5/2/2009,Ottawa Senators,Montreal Canadiens,Rick,1,3,0./5,1/3,48,27,33,65,8:28,7:21,18,20,no,,no,yes,6,10,0,1
